228780_at	203824_at	209847_at	219271_at	228912_at	218687_s_at	205799_s_at	201839_s_at	203903_s_at	206430_at	201884_at	209211_at	212925_at	215046_at	205506_at	202950_at	222291_at	237328_at	214898_x_at	228256_s_at	tissue
-0.56126627271669	-0.574226768156192	-0.541150576513232	-0.617554286074263	-0.593676893579638	-0.56104452378202	-0.532790916106072	-0.782840389413241	-0.462546712289437	-0.556633832370107	-0.581627077722621	-0.692848044466384	-0.151369696817803	-0.610295611211692	-0.576610927762681	-0.714269323107289	-0.766178503292911	-0.496662234946101	-0.584766894529074	-0.700830135718782	Breast
-0.564314489623066	-0.555499924187678	-0.525161019814634	-0.493114679112598	-0.62670082992233	-0.533768027716214	-0.533817729331549	-0.437922716403341	-0.371230159736184	-0.493586487473079	-0.523239220442282	-0.651003634596937	-0.342390789836033	-0.537497047338799	-0.580316359147963	-0.479961017671542	-0.568524129972723	-0.50584415416216	-0.605202397314373	0.116652348652715	Breast
-0.557327038560758	0.622560493346344	1.36811449744049	-0.605340769094692	1.63593654909065	0.581131208085015	-0.489844045484947	0.787905026084223	1.6863014417842	0.796294319457058	1.5084757508595	1.56417033907698	0.850258168221485	-0.4494107850526	1.80891783256248	-0.652236803786603	-0.868521281573324	-0.528926478858086	0.787018361318751	-0.722728144889615	Colon
-0.145536382331763	1.31034315016706	-0.521163630639985	0.0333109470785645	-0.607180783669965	-0.545709757011583	-0.533108739247291	0.120519659218011	-0.66047473024252	-0.536451537827999	1.57276321455254	-0.164524110869173	-0.669532978998824	-0.669262447948734	-0.59982230927049	-0.702662089291026	-0.758561388115552	-0.513687043492544	-0.578094077293059	0.0234886291626048	Breast
-0.566846854437593	-0.448029895415262	-0.526725215578628	-0.550587342031559	-0.63470794423871	-0.574484477417029	-0.533385815831944	-0.415890379435898	-0.550797314203741	-0.548864541993277	-0.581136457532974	-0.697220501088061	-0.75818102589873	-0.582632156939993	-0.614993603810232	-0.74308377196696	-0.675554363746896	-0.509159847212404	-0.652850482890299	-0.410454759672416	Breast
-0.551465082971574	-0.267786574950588	0.00936908817714172	-0.545425402779816	-0.355497703941586	-0.307315825321743	-0.525456535924096	-0.300559516720987	-0.212880777304083	-0.381333636856132	0.560524559639339	-0.242747359830971	-0.381248579831032	-0.486538052627775	-0.316881161794275	-0.616956922055593	-0.619890829758503	-0.531477011973658	-0.478627395368697	-0.292931124654989	Colon
-0.551230604748007	-0.57574309112747	-0.539219470631759	-0.0780394567804661	-0.616832602548629	-0.585941487073103	-0.533312472030124	-0.452629198630211	-0.640511210741179	-0.536630142204477	-0.579936262688878	-0.548906772480783	-0.447556368262866	-0.398997779570622	-0.600521447267713	-0.798014496913222	-0.804459389825279	-0.514707256738773	-0.658793460741126	0.284191554912399	Breast
-0.577679748366405	-0.572399011847378	-0.535434503104072	-0.243175424092927	-0.584674300186086	-0.572060879220552	-0.532049328776561	-0.372469285263267	-0.512507771565044	-0.554133371099403	-0.580224147262969	-0.130768745749828	-0.662462524856003	-0.673994354600472	-0.581085410944909	-0.64551682631403	-0.625945459771276	-0.532752278531444	-0.64263273149765	-0.901021994706572	Breast
2.41773266206188	-0.572705339720364	-0.537925629691172	2.07919026301498	-0.58341913091487	-0.586205879603628	1.47960001960184	-0.933766690255478	-0.555256878769485	-0.551722212016939	-0.583013789333029	-0.629578597150721	-0.758775181709051	1.94948389096888	-0.532005923539843	1.39939268215813	1.13888153362913	1.5811295676546	-0.563914340666525	1.32272731529242	Kidney
-0.55019890056431	1.40820980012138	1.86054649721615	-0.604833792918181	1.83689347758229	1.73093025791552	-0.497634787100468	0.244004814452569	1.49631702321385	2.21959259561688	0.9235713358414	0.815824388276989	2.91263240142701	-0.386804020121913	2.2754526181095	-0.544182620562839	-0.774381550406989	-0.528926478858086	1.21282751119201	-1.06260079610319	Colon
-0.560797316269555	0.557133965141189	0.709124615387763	-0.582480752408401	1.23480176268952	1.8769630656087	-0.52346810396365	0.256383454986173	1.21323919433358	2.51232516866569	1.15831485038223	0.73585215666652	3.06099310726419	-0.663802555658267	2.38395883527854	-0.600971521098108	-0.653288950151539	-0.499340294717452	0.95926045622341	-0.730113863959068	Colon
-0.562204185610959	-0.551282810469577	-0.540185023572496	-0.354802360411873	-0.615101334588331	-0.547913028099289	-0.535129768452991	-0.511475667317338	-0.59434774941609	-0.552704536087572	-0.512668585447154	0.488764632975562	-0.791513166857743	-0.544230914497042	-0.611847482822728	-0.836374368319161	-0.820279552116717	-0.525164442512618	-0.603221404697431	-0.538992186284641	Breast
-0.560281464177707	-0.564955244533831	-0.530819160047351	-0.529340431361438	-0.648211834329038	-0.586646533821169	-0.494676587093738	-0.0910332245473802	-0.662425789740033	-0.537612466275111	0.414554916438492	-0.453324870730928	-0.36063137321289	-0.730413241601964	-0.595487653687706	-0.736261976653893	-0.816178028559677	-0.533389911810337	-0.564435654513089	-0.747476782473219	Breast
-0.565908941543323	-0.56009484228246	-0.538292539808652	-0.627002478454685	-0.629687267153845	-0.515701204797021	-0.530500959627033	-0.586877198399517	-0.378895036333557	-0.542881295381237	-0.581468943942487	-0.600108239520619	-0.440901823187269	-0.378614181686212	-0.63002507075053	-0.631898690148019	-0.675163742455749	-0.532305935236219	-0.636898279185449	-0.11619216306318	Breast
